class_name,recording,n_unique_sources,exact_accuracy,ship_only_top1_accuracy,predicted_tanker_fraction,predicted_cargo_fraction,rejected_fraction
Cargo,cargo/20171209-85/001029.wav,108,0.5925925925925926,0.6018518518518519,0.3888888888888889,0.5925925925925926,0.009259259259259259
Cargo,cargo/20171209b-86/054935.wav,41,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171209c-87/140111.wav,82,0.9878048780487805,0.9878048780487805,0.0,0.9878048780487805,0.0
Cargo,cargo/20171210c-90/124043.wav,74,0.9459459459459459,0.9594594594594594,0.02702702702702703,0.9459459459459459,0.0
Cargo,cargo/20171212a-91/003918.wav,51,0.803921568627451,0.8235294117647058,0.1568627450980392,0.803921568627451,0.0392156862745098
Cargo,cargo/20171212c-93/101404.wav,41,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171213b-96/96.wav,39,0.9230769230769231,0.9230769230769231,0.07692307692307693,0.9230769230769231,0.0
Cargo,cargo/20171213d-97/154210.wav,55,0.8363636363636363,0.8363636363636363,0.16363636363636364,0.8363636363636363,0.0
Cargo,cargo/20171213e-98/231302.wav,113,0.7699115044247787,0.7876106194690266,0.168141592920354,0.7699115044247787,0.02654867256637168
Cargo,cargo/20171213f-99/99.wav,37,0.972972972972973,0.972972972972973,0.0,0.972972972972973,0.02702702702702703
Cargo,cargo/20171213g-100/234857.wav,70,0.8285714285714286,0.8285714285714286,0.14285714285714285,0.8285714285714286,0.02857142857142857
Cargo,cargo/20171214a-101/075400.wav,63,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171214b-102/091542.wav,88,0.8181818181818182,0.8181818181818182,0.1590909090909091,0.8181818181818182,0.011363636363636364
Cargo,cargo/20171214d-103/103.wav,39,0.9487179487179487,0.9487179487179487,0.05128205128205128,0.9487179487179487,0.0
Cargo,cargo/20171214e-104/213748.wav,49,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171214f-105/215513.wav,92,0.7065217391304348,0.717391304347826,0.2826086956521739,0.7065217391304348,0.0
Cargo,cargo/20171215-106/014609.wav,67,0.5671641791044776,0.6119402985074627,0.208955223880597,0.5671641791044776,0.1044776119402985
Cargo,cargo/20171215b-108/114505.wav,72,0.9166666666666666,0.9166666666666666,0.06944444444444445,0.9166666666666666,0.0
Cargo,cargo/20171215e-111/214529.wav,41,0.975609756097561,0.975609756097561,0.0,0.975609756097561,0.0
Tanker,tanker/20160509-1/123109.wav,55,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.01818181818181818,0.0
Tanker,tanker/20160511-2/2.wav,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.03333333333333333,0.0
Tanker,tanker/20160515-3/020119.wav,76,0.9868421052631579,0.9868421052631579,0.9868421052631579,0.013157894736842105,0.0
Tanker,tanker/20160516-4/134837.wav,55,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.2545454545454545,0.0
Tanker,tanker/20160519-5/5.wav,9,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160526-6/6.wav,34,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160531-7/142749.wav,100,0.96,0.96,0.96,0.03,0.01
Tanker,tanker/20160601-8/8.wav,8,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160602-9/9.wav,3,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160604-11/171238.wav,74,0.7702702702702703,0.8108108108108109,0.7702702702702703,0.16216216216216217,0.06756756756756757
