class_name,recording,n_unique_sources,exact_accuracy,ship_only_top1_accuracy,predicted_tanker_fraction,predicted_cargo_fraction,rejected_fraction
Cargo,cargo/20171214e-104/213748.wav,49,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171214f-105/215513.wav,92,0.8369565217391305,0.8369565217391305,0.16304347826086957,0.8369565217391305,0.0
Cargo,cargo/20171215-106/014609.wav,67,0.8059701492537313,0.835820895522388,0.029850746268656716,0.8059701492537313,0.05970149253731343
Cargo,cargo/20171215b-108/114505.wav,72,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171215e-111/214529.wav,41,1.0,1.0,0.0,1.0,0.0
Tanker,tanker/20160509-1/123109.wav,55,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160511-2/2.wav,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.03333333333333333,0.0
Tanker,tanker/20160515-3/020119.wav,76,0.9605263157894737,0.9605263157894737,0.9605263157894737,0.039473684210526314,0.0
Tanker,tanker/20160516-4/134837.wav,55,0.8909090909090909,0.8909090909090909,0.8909090909090909,0.09090909090909091,0.0
Tanker,tanker/20160519-5/5.wav,9,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160526-6/6.wav,34,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160531-7/142749.wav,100,0.95,0.95,0.95,0.04,0.01
Tanker,tanker/20160601-8/8.wav,8,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160602-9/9.wav,3,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160604-11/171238.wav,74,0.9324324324324325,0.9324324324324325,0.9324324324324325,0.06756756756756757,0.0
Tanker,tanker/20160613-13/13.wav,31,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160615-14/14.wav,5,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160617-16/225229.wav,101,0.9801980198019802,0.9801980198019802,0.9801980198019802,0.019801980198019802,0.0
Tanker,tanker/20160619a-18/18.wav,13,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160625-19/19.wav,2,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160702-20/20.wav,20,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160703-21/21.wav,3,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160704-22/111311.wav,81,0.9135802469135802,0.9135802469135802,0.9135802469135802,0.07407407407407407,0.012345679012345678
Tanker,tanker/20160710-23/104049.wav,74,0.9864864864864865,0.9864864864864865,0.9864864864864865,0.013513513513513514,0.0
Tanker,tanker/20160714-25/111759.wav,102,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.09803921568627451,0.0
Tanker,tanker/20160724-27/025459.wav,70,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.014285714285714285,0.0
Tanker,tanker/20160808-28/203415.wav,78,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160810-29/29.wav,21,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160810a-30/30.wav,6,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160823-31/041452.wav,61,0.8524590163934426,0.8688524590163934,0.8524590163934426,0.13114754098360656,0.01639344262295082
Tanker,tanker/20160829-32/32.wav,7,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160831-33/33.wav,3,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160906-35/35.wav,3,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160924-38/38.wav,34,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.0,0.029411764705882353
Tanker,tanker/20160927-39/39.wav,25,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161009-42/42.wav,14,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161021-43/43.wav,5,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161022-44/030503.wav,41,0.8780487804878049,0.9024390243902439,0.8780487804878049,0.07317073170731707,0.04878048780487805
Tanker,tanker/20161024-45/061514.wav,49,0.9795918367346939,1.0,0.9795918367346939,0.0,0.02040816326530612
Tanker,tanker/20161027-46/145435.wav,69,0.9710144927536232,0.9855072463768116,0.9710144927536232,0.014492753623188406,0.0
Tanker,tanker/20161030-47/47.wav,4,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161101-48/48.wav,7,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161101a-49/49.wav,7,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161110-52/005212.wav,8,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161113-237/174452.wav,57,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.017543859649122806,0.0
Tanker,tanker/20161113a-53/212239.wav,6,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161121-54/094048.wav,12,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161124-56/095256.wav,17,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161128-58/005608.wav,88,0.8977272727272727,0.9090909090909091,0.8977272727272727,0.09090909090909091,0.0
Tanker,tanker/20161206-59/221722.wav,12,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161208-61/135535.wav,5,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161208a-62/200744.wav,5,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161211-63/204245.wav,72,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161215-64/025503.wav,2,1.0,1.0,1.0,0.0,0.0
